Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2042.04382324,2024-01-01,2024-01-13
2,Real Madrid,ESP,1,1967.50610352,2024-01-01,2024-01-03
3,Bayern,GER,1,1962.54382324,2024-01-01,2024-01-12
4,Liverpool,ENG,1,1938.95874023,2024-01-01,2024-01-01
5,Inter,ITA,1,1932.32751465,2024-01-01,2024-01-06
6,Arsenal,ENG,1,1910.54882812,2024-01-01,2024-01-20
7,Paris SG,FRA,1,1873.02929688,2024-01-01,2024-01-14
8,Atletico,ESP,1,1870.10351562,2024-01-01,2024-01-03
9,Barcelona,ESP,1,1858.91369629,2024-01-01,2024-01-04
10,Leverkusen,GER,1,1856.89892578,2024-01-01,2024-01-13
11,Aston Villa,ENG,1,1854.15014648,2024-01-01,2024-01-14
12,Juventus,ITA,1,1849.00183105,2024-01-01,2024-01-07
13,RB Leipzig,GER,1,1846.3001709,2024-01-01,2024-01-13
14,Dortmund,GER,1,1840.44641113,2024-01-01,2024-01-13
15,Tottenham,ENG,1,1837.70581055,2024-01-01,2024-01-13
16,Sociedad,ESP,1,1828.71679688,2024-01-01,2024-01-02
17,Napoli,ITA,1,1827.72729492,2024-01-01,2024-01-02
18,Milan,ITA,1,1826.00695801,2024-01-01,2024-01-02
19,Brighton,ENG,1,1820.63659668,2024-01-01,2024-01-02
20,PSV,NED,1,1818.38830566,2024-01-01,2024-01-07
21,West Ham,ENG,1,1808.97216797,2024-01-01,2024-01-02
22,Porto,POR,1,1805.13757324,2024-01-01,2024-01-05
23,Newcastle,ENG,1,1802.77978516,2024-01-01,2024-01-01
24,Man United,ENG,1,1787.94226074,2024-01-01,2024-01-03
25,Girona,ESP,1,1783.4942627,2024-01-01,2024-01-03
26,Benfica,POR,1,1783.3034668,2024-01-01,2024-01-06
27,Chelsea,ENG,1,1777.53039551,2024-01-01,2024-01-13
28,Roma,ITA,1,1770.12512207,2024-01-01,2024-01-04
29,Atalanta,ITA,1,1767.71191406,2024-01-01,2024-01-04
30,Fiorentina,ITA,1,1763.80981445,2024-01-01,2024-01-04
31,Sporting,POR,1,1762.91003418,2024-01-01,2024-01-04
32,Lazio,ITA,1,1762.5802002,2024-01-01,2024-01-04
33,Bilbao,ESP,1,1761.07592773,2024-01-01,2024-01-04
34,Lens,FRA,1,1756.61499023,2024-01-01,2024-01-06
35,Brentford,ENG,1,1740.8939209,2024-01-01,2024-01-20
36,Marseille,FRA,1,1740.20019531,2024-01-01,2024-01-01
37,Wolves,ENG,1,1738.79882812,2024-01-01,2024-01-01
38,Betis,ESP,1,1738.70092773,2024-01-01,2024-01-01
39,Leicester,ENG,2,1737.8215332,2024-01-01,2024-01-01
40,Feyenoord,NED,1,1734.94152832,2024-01-01,2024-01-03
41,Bologna,ITA,1,1734.38684082,2024-01-01,2024-01-03
42,Stuttgart,GER,1,1723.72229004,2024-01-01,2024-01-14
43,Lille,FRA,1,1723.61132812,2024-01-01,2024-01-14
44,Crystal Palace,ENG,1,1723.2935791,2024-01-01,2024-01-14
45,Nice,FRA,1,1723.09191895,2024-01-01,2024-01-13
46,Everton,ENG,1,1721.11450195,2024-01-01,2024-01-13
47,Freiburg,GER,1,1720.06689453,2024-01-01,2024-01-13
48,Fulham,ENG,1,1717.38049316,2024-01-01,2024-01-13
49,Villarreal,ESP,1,1716.42553711,2024-01-01,2024-01-02
50,Monaco,FRA,1,1715.72192383,2024-01-01,2024-01-02
51,Bournemouth,ENG,1,1711.89160156,2024-01-01,2024-01-02
52,Frankfurt,GER,1,1706.43774414,2024-01-01,2024-01-07
53,St Gillis,BEL,1,1705.47973633,2024-01-01,2024-01-07
54,Slavia Praha,CZE,1,1698.87133789,2024-01-01,2024-01-07
