Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
1130961,Eran Tuypens,2005,Left-Back,,left,,Belgian Pro League
268112,Gyrano Kerk,1995,Right Winger,"1,83 m",right,€2.50m,Belgian Pro League
663237,Jacob Ondrejka,2002,Left Winger,"1,80 m",right,€7.00m,Belgian Pro League
182424,Dorian Dessoleil,1992,Centre-Back,"1,88 m",left,€250k,Belgian Pro League
460378,Jelle Bataille,1999,Right-Back,"1,80 m",right,€3.00m,Belgian Pro League
55687,Ritchie De Laet,1988,Right-Back,"1,84 m",right,-,Belgian Pro League
42710,Toby Alderweireld,1989,Centre-Back,"1,87 m",right,€2.20m,Belgian Pro League
1073288,Milan Smits,2004,Central Midfield,"1,83 m",right,€300k,Belgian Pro League
503162,Christopher Scott,2002,Attacking Midfield,"1,78 m",right,€600k,Belgian Pro League
738774,Zeno Van Den Bosch,2003,Centre-Back,"1,91 m",right,€8.00m,Belgian Pro League
290537,Jean Butez,1995,Goalkeeper,"1,89 m",right,€4.00m,Belgian Pro League
1020704,Niels Devalckeneer,2004,Goalkeeper,"1,93 m",right,€100k,Belgian Pro League
535282,Sam Vines,1999,Left-Back,"1,77 m",left,€1.50m,Belgian Pro League
502239,Michel-Ange Balikwisha,2001,Left Winger,"1,78 m",right,€7.00m,Belgian Pro League
748601,Gastón Ávila,2001,Centre-Back,"1,82 m",left,€4.00m,Belgian Pro League
193469,Björn Engels,1994,Centre-Back,"1,95 m",right,€200k,Belgian Pro League
450218,Ortwin De Wolf,1997,Goalkeeper,"1,90 m",left,€1.20m,Belgian Pro League
1157420,Victor Udoh,2004,Centre-Forward,"1,72 m",left,€600k,Belgian Pro League
1102235,Milo Horemans,2006,Attacking Midfield,,right,,Belgian Pro League
361068,Jurgen Ekkelenkamp,2000,Attacking Midfield,"1,88 m",right,€5.50m,Belgian Pro League
707844,Mandela Keita,2002,Defensive Midfield,"1,80 m",right,€11.00m,Belgian Pro League
606967,Arbnor Muja,1998,Right Winger,"1,79 m",right,€3.70m,Belgian Pro League
926694,Arthur Vermeeren,2005,Defensive Midfield,"1,80 m",right,€25.00m,Belgian Pro League
535834,Eliot Matazo,2002,Central Midfield,"1,70 m",right,€3.00m,Belgian Pro League
600481,Alhassan Yusuf,2000,Central Midfield,"1,73 m",right,€3.00m,Belgian Pro League
974374,Anthony Valencia,2003,Right Winger,"1,74 m",left,€1.20m,Belgian Pro League
1004834,George Ilenikhena,2006,Centre-Forward,"1,85 m",left,€15.00m,Belgian Pro League
659513,Soumaïla Coulibaly,2003,Centre-Back,"1,91 m",left,€9.00m,Belgian Pro League
503883,Senne Lammens,2002,Goalkeeper,"1,93 m",right,€4.50m,Belgian Pro League
1033919,Mahamadou Doumbia,2004,Central Midfield,"1,86 m",right,€5.00m,Belgian Pro League
339328,Owen Wijndal,1999,Left-Back,"1,76 m",left,€4.00m,Belgian Pro League
33480,Davino Verhulst,1987,Goalkeeper,"1,93 m",right,-,Belgian Pro League
207015,Vincent Janssen,1994,Centre-Forward,"1,85 m",left,€8.00m,Belgian Pro League
879631,Laurit Krasniqi,2001,Left-Back,"1,69 m",right,-,Belgian Pro League
147043,Michael Frey,1994,Centre-Forward,"1,88 m",right,€800k,Belgian Pro League
981194,Kobe Corbanie,2005,Right-Back,"1,87 m",right,€2.00m,Belgian Pro League
500067,Chidera Ejuke,1998,Left Winger,"1,76 m",right,€6.00m,Belgian Pro League
423604,Francis Amuzu,1999,Left Winger,"1,69 m",right,€4.50m,Belgian Pro League
748803,Luca Monticelli,2005,Central Midfield,,right,€600k,Belgian Pro League
649022,Moussa N'Diaye,2002,Left-Back,"1,81 m",left,€3.00m,Belgian Pro League
16911,Kasper Schmeichel,1986,Goalkeeper,"1,89 m",right,€750k,Belgian Pro League
127188,Maxime Dupé,1993,Goalkeeper,"1,88 m",right,€1.20m,Belgian Pro League
102226,Thorgan Hazard,1993,Left Winger,"1,75 m",right,€4.00m,Belgian Pro League
454336,Killian Sardella,2002,Right-Back,"1,74 m",right,€6.00m,Belgian Pro League
440953,Antoine Colassin,2001,Centre-Forward,"1,86 m",right,€600k,Belgian Pro League
903513,Tristan Degreef,2005,Left Winger,,right,€2.00m,Belgian Pro League
502302,Yari Verschaeren,2001,Attacking Midfield,"1,70 m",right,€5.00m,Belgian Pro League
844516,Luis Vázquez,2001,Centre-Forward,"1,90 m",right,€3.00m,Belgian Pro League
660735,Federico Gattoni,1999,Centre-Back,"1,83 m",right,€3.00m,Belgian Pro League
537566,Mads Kikkenborg,1999,Goalkeeper,"1,97 m",right,€600k,Belgian Pro League
546225,Mohamed Bouchouari,2000,Right-Back,"1,70 m",right,€600k,Belgian Pro League
283196,Kasper Dolberg,1997,Centre-Forward,"1,87 m",right,€13.00m,Belgian Pro League
170646,Ludwig Augustinsson,1994,Left-Back,"1,81 m",left,€4.00m,Belgian Pro League
92164,Mats Rits,1993,Defensive Midfield,"1,78 m",right,€3.00m,Belgian Pro League
43250,Jan Vertonghen,1987,Centre-Back,"1,89 m",left,€1.00m,Belgian Pro League
486051,Marco Kana,2002,Defensive Midfield,"1,82 m",right,€1.00m,Belgian Pro League
1029619,Amando Lapage,2004,Centre-Back,"1,87 m",right,€600k,Belgian Pro League
112930,Benito Raman,1994,Centre-Forward,"1,72 m",right,€1.30m,Belgian Pro League
981537,Nunzio Engwanda,2007,Centre-Back,,right,€800k,Belgian Pro League
338635,Hannes Delcroix,1999,Centre-Back,"1,83 m",left,€4.00m,Belgian Pro League
154351,Colin Coosemans,1992,Goalkeeper,"1,86 m",right,€1.00m,Belgian Pro League
464067,Lucas Lissens,2001,Centre-Back,"1,84 m",right,€850k,Belgian Pro League
418071,Théo Leoni,2000,Central Midfield,"1,74 m",left,€5.00m,Belgian Pro League
357917,Justin Lonwijk,1999,Central Midfield,"1,89 m",right,€900k,Belgian Pro League
395242,Alexis Flips,2000,Attacking Midfield,"1,73 m",right,€1.80m,Belgian Pro League
355501,Amadou Diawara,1997,Defensive Midfield,"1,83 m",right,€700k,Belgian Pro League
783373,Robbie Ure,2004,Centre-Forward,,right,€400k,Belgian Pro League
588866,Mario Stroeykens,2004,Attacking Midfield,"1,77 m",right,€14.00m,Belgian Pro League
360140,Majeed Ashimeru,1997,Central Midfield,"1,74 m",right,€2.00m,Belgian Pro League
548193,Zeno Debast,2003,Centre-Back,"1,91 m",right,€24.00m,Belgian Pro League
342389,Anders Dreyer,1998,Right Winger,"1,74 m",left,€10.00m,Belgian Pro League
91849,Thomas Delaney,1991,Central Midfield,"1,82 m",left,€2.00m,Belgian Pro League
502247,Louis Patris,2001,Right-Back,"1,87 m",right,€2.00m,Belgian Pro League
581106,Kristian Arnstad,2003,Central Midfield,"1,75 m",right,€2.00m,Belgian Pro League
903611,Nilson Angulo,2003,Left Winger,"1,83 m",right,€1.50m,Belgian Pro League
409533,Nick Shinton,2001,Goalkeeper,"1,94 m",left,€700k,Belgian Pro League
88262,Dedryck Boyata,1990,Centre-Back,"1,88 m",right,€300k,Belgian Pro League
981196,Joaquin Seys,2005,Left-Back,"1,78 m",left,€7.00m,Belgian Pro League
221958,Roman Yaremchuk,1995,Centre-Forward,"1,91 m",right,€2.80m,Belgian Pro League
509802,Shion Homma,2000,Left Midfield,"1,64 m",right,€600k,Belgian Pro League
708454,Romeo Vermant,2004,Centre-Forward,"1,84 m",right,€4.00m,Belgian Pro League
137576,Hans Vanaken,1992,Attacking Midfield,"1,95 m",right,€6.00m,Belgian Pro League
743381,Jorne Spileers,2005,Centre-Back,"1,88 m",right,€3.00m,Belgian Pro League
393565,Michal Skoras,2000,Right Winger,"1,72 m",right,€4.00m,Belgian Pro League
594227,Bjorn Meijer,2003,Left-Back,"1,90 m",left,€6.00m,Belgian Pro League
893661,Joel Ordóñez,2004,Centre-Back,"1,88 m",right,€18.00m,Belgian Pro League
699783,Raphael Onyedika,2001,Defensive Midfield,"1,84 m",right,€16.00m,Belgian Pro League
739443,Igor Thiago,2001,Centre-Forward,"1,91 m",right,€25.00m,Belgian Pro League
638793,Tajon Buchanan,1999,Right Midfield,"1,83 m",right,€8.00m,Belgian Pro League
1067903,Bi Abdoul Kader Yameogo,2004,Centre-Back,"1,84 m",right,€400k,Belgian Pro League
250543,Nordin Jackers,1997,Goalkeeper,"1,87 m",right,€900k,Belgian Pro League
789145,Víctor Barberá,2004,Centre-Forward,"1,77 m",right,€700k,Belgian Pro League
429915,Maxim De Cuyper,2000,Left-Back,"1,82 m",left,€12.00m,Belgian Pro League
499758,Hugo Vetlesen,2000,Central Midfield,"1,74 m",right,€6.00m,Belgian Pro League
511815,Owen Otasowie,2001,Defensive Midfield,"1,91 m",right,€100k,Belgian Pro League
236168,Brandon Mechele,1993,Centre-Back,"1,90 m",right,€3.00m,Belgian Pro League
265127,Éder Balanta,1993,Defensive Midfield,"1,80 m",left,€900k,Belgian Pro League
59641,Denis Odoi,1988,Right-Back,"1,78 m",right,€300k,Belgian Pro League
432982,Andreas Skov Olsen,1999,Right Winger,"1,87 m",left,€16.00m,Belgian Pro League
743384,Chemsdine Talbi,2005,Right Winger,"1,75 m",right,€3.00m,Belgian Pro League
148365,Casper Nielsen,1994,Central Midfield,"1,82 m",right,€3.00m,Belgian Pro League
50219,Simon Mignolet,1988,Goalkeeper,"1,93 m",right,€1.50m,Belgian Pro League
491737,Josef Bursik,2000,Goalkeeper,"1,90 m",left,€800k,Belgian Pro League
894914,Antonio Nusa,2005,Left Winger,"1,83 m",right,€28.00m,Belgian Pro League
271098,Philip Zinckernagel,1994,Left Winger,"1,75 m",right,€2.80m,Belgian Pro League
599231,Ferran Jutglà,1999,Centre-Forward,"1,75 m",right,€5.00m,Belgian Pro League
743122,Kyriani Sabbe,2005,Right-Back,"1,76 m",right,€4.50m,Belgian Pro League
227110,Jordan Torunarigha,1997,Centre-Back,"1,91 m",left,€4.50m,Belgian Pro League
379168,Noah Fadiga,1999,Right-Back,"1,87 m",right,€3.00m,Belgian Pro League
1105532,Jorthy Mokio,2008,Centre-Back,"1,82 m",left,€1.50m,Belgian Pro League
705991,Matisse Samoise,2001,Right Midfield,"1,80 m",right,€2.50m,Belgian Pro League
158799,Daniel Schmidt,1992,Goalkeeper,"1,97 m",right,€800k,Belgian Pro League
1160184,Abdoul Rachid Ayindé,2005,Left-Back,,,,Belgian Pro League
602781,Daisuke Yokota,2000,Right Winger,"1,71 m",left,€2.50m,Belgian Pro League
706859,Louis Fortin,2002,Goalkeeper,"1,93 m",,€150k,Belgian Pro League
42735,Sven Kums,1988,Central Midfield,"1,76 m",right,€300k,Belgian Pro League
245228,Tarik Tissoudali,1993,Centre-Forward,"1,82 m",right,€5.00m,Belgian Pro League
986760,Mohamed Soumah,2003,Centre-Back,"1,88 m",right,€100k,Belgian Pro League
340166,Alessio Castro-Montes,1997,Right Midfield,"1,75 m",right,€6.00m,Belgian Pro League
290261,Núrio Fortuna,1995,Left-Back,"1,77 m",left,€800k,Belgian Pro League
743386,Malick Fofana,2005,Left Winger,"1,69 m",right,€25.00m,Belgian Pro League
1018259,Gift Orban,2002,Centre-Forward,"1,78 m",right,€10.00m,Belgian Pro League
1047422,Chukwudi Igbokwe,2002,Centre-Forward,"1,81 m",right,€100k,Belgian Pro League
724129,Matias Fernandez-Pardo,2005,Centre-Forward,"1,88 m",right,€10.00m,Belgian Pro League
143029,Stefan Mitrovic,1990,Centre-Back,"1,89 m",right,€1.00m,Belgian Pro League
1047841,Hannes Vernemmen,2005,Centre-Back,,,,Belgian Pro League
581329,Archie Brown,2002,Left-Back,"1,90 m",left,€8.00m,Belgian Pro League
654986,Bram Lagae,2004,Centre-Back,"1,83 m",left,€1.00m,Belgian Pro League
632083,Yari Stevens,2003,Right-Back,,right,-,Belgian Pro League
632087,Robbie Van Hauter,2003,Defensive Midfield,,right,€150k,Belgian Pro League
183383,Pieter Gerkens,1995,Attacking Midfield,"1,79 m",right,€1.50m,Belgian Pro League
632100,Noah De Ridder,2003,Right Midfield,,,,Belgian Pro League
562948,Hyun-seok Hong,1999,Attacking Midfield,"1,77 m",left,€5.00m,Belgian Pro League
780548,Omri Gandelman,2000,Attacking Midfield,"1,88 m",left,€6.00m,Belgian Pro League
598791,Tsuyoshi Watanabe,1997,Centre-Back,"1,86 m",right,€9.00m,Belgian Pro League
775403,Hugo Gambor,2002,Centre-Back,"1,86 m",right,€2.00m,Belgian Pro League
90583,Laurent Depoitre,1988,Centre-Forward,"1,91 m",right,-,Belgian Pro League
707804,Célestin De Schrevel,2002,Goalkeeper,,right,€100k,Belgian Pro League
719384,Brian Agbor,2001,Centre-Back,"1,90 m",right,€250k,Belgian Pro League
575594,Ismaël Kandouss,1997,Centre-Back,"1,92 m",right,€2.50m,Belgian Pro League
167798,Andrew Hjulsager,1995,Attacking Midfield,"1,75 m",right,€800k,Belgian Pro League
189744,Paul Nardi,1994,Goalkeeper,"1,88 m",right,€2.00m,Belgian Pro League
129592,Julien De Sart,1994,Defensive Midfield,"1,87 m",right,€7.00m,Belgian Pro League
627196,Franck Surdez,2002,Left Winger,"1,88 m",right,€3.50m,Belgian Pro League
420884,Hugo Cuypers,1997,Centre-Forward,"1,85 m",right,€8.00m,Belgian Pro League
1015619,Ahmed Abdullahi,2004,Centre-Forward,,,€1.00m,Belgian Pro League
140808,Davy Roef,1994,Goalkeeper,"1,87 m",right,€2.50m,Belgian Pro League
1019173,Tibe De Vlieger,2005,Attacking Midfield,"1,82 m",right,€300k,Belgian Pro League
929876,Momodou Lamin Sonko,2005,Left Winger,"1,76 m",right,€4.00m,Belgian Pro League
78570,Anthony Moris,1990,Goalkeeper,"1,86 m",left,€1.80m,Belgian Pro League
533158,Loïc Lapoussin,1996,Left Midfield,"1,81 m",right,€3.00m,Belgian Pro League
72736,Guillaume François,1990,Right-Back,"1,74 m",right,€150k,Belgian Pro League
570819,Maxime Wenssens,2001,Goalkeeper,"1,91 m",right,€50k,Belgian Pro League
492634,Henok Teklab,1998,Left Winger,"1,74 m",right,€1.00m,Belgian Pro League
449592,Cameron Puertas,1998,Attacking Midfield,"1,78 m",right,€12.00m,Belgian Pro League
59082,Heinz Lindner,1990,Goalkeeper,"1,87 m",right,€100k,Belgian Pro League
746910,Mohamed Amoura,2000,Centre-Forward,"1,70 m",right,€22.00m,Belgian Pro League
268327,Mathias Rasmussen,1997,Central Midfield,"1,80 m",left,€2.20m,Belgian Pro League
396847,Elton Kabangu,1998,Centre-Forward,"1,78 m",left,€600k,Belgian Pro League
450958,Ross Sykes,1999,Centre-Back,"1,96 m",right,€2.20m,Belgian Pro League
1115967,Daniel Tshilanda Kabongo,2006,Centre-Back,,right,,Belgian Pro League
338668,Senne Lynen,1999,Defensive Midfield,"1,85 m",right,€9.00m,Belgian Pro League
748505,Arnaud Dony,2004,Left-Back,"1,70 m",left,€200k,Belgian Pro League
168166,Lucas Pirard,1995,Goalkeeper,"1,91 m",right,€300k,Belgian Pro League
721788,Tiago Gomes,2002,Goalkeeper,"1,93 m",right,,Belgian Pro League
690478,Matthew Sorinola,2001,Right-Back,"1,73 m",right,€750k,Belgian Pro League
1177449,Noa Louche,2005,Goalkeeper,,,,Belgian Pro League
684159,Kevin Rodríguez,2000,Centre-Forward,"1,90 m",right,€2.50m,Belgian Pro League
249303,Dennis Eckert Ayensa,1997,Centre-Forward,"1,83 m",right,€2.50m,Belgian Pro League
320440,Gustaf Nilsson,1997,Centre-Forward,"1,96 m",right,€7.00m,Belgian Pro League
396823,Viktor Boone,1998,Centre-Back,"1,91 m",right,€400k,Belgian Pro League
428920,Kevin Mac Allister,1997,Centre-Back,"1,75 m",right,€6.00m,Belgian Pro League
502261,Joachim Imbrechts,2001,Goalkeeper,"1,83 m",right,€200k,Belgian Pro League
415035,Koki Machida,1997,Centre-Back,"1,90 m",left,€10.00m,Belgian Pro League
727089,Noah Sadiki,2004,Central Midfield,"1,83 m",right,€8.00m,Belgian Pro League
660746,Fedde Leysen,2003,Centre-Back,"1,91 m",left,€2.20m,Belgian Pro League
1034665,Nathan Huygevelde,2004,Central Midfield,"1,85 m",right,€100k,Belgian Pro League
257987,Bart Nieuwkoop,1996,Right-Back,"1,81 m",right,€3.00m,Belgian Pro League
435808,Lazare Amani,1998,Central Midfield,"1,72 m",right,€3.50m,Belgian Pro League
679597,Casper Terho,2003,Right Winger,"1,84 m",left,€1.80m,Belgian Pro League
569845,Charles Vanhoutte,1998,Defensive Midfield,"1,82 m",right,€5.00m,Belgian Pro League
244221,Christian Burgess,1991,Centre-Back,"1,96 m",right,€2.20m,Belgian Pro League
1169601,Thibau Loeman,2006,Centre-Back,"1,89 m",right,,Belgian Pro League
235275,Jordi Vanlerberghe,1996,Centre-Back,"1,89 m",right,€2.00m,Belgian Pro League
802997,Norman Bassette,2004,Centre-Forward,"1,86 m",left,€2.00m,Belgian Pro League
183120,Nikola Storm,1994,Left Winger,"1,78 m",right,€2.00m,Belgian Pro League
708453,Dirk Asare,2004,Central Midfield,"1,73 m",right,€150k,Belgian Pro League
159522,Patrick Pflücke,1996,Right Midfield,"1,70 m",left,€1.80m,Belgian Pro League
712086,Toon Raemaekers,2000,Centre-Back,"1,94 m",right,€850k,Belgian Pro League
64246,Yannick Thoelen,1990,Goalkeeper,"1,88 m",right,€200k,Belgian Pro League
338651,Gaëtan Coucke,1998,Goalkeeper,"1,87 m",right,€2.30m,Belgian Pro League
1016015,Ngal'ayel Mukau,2004,Defensive Midfield,"1,86 m",left,€10.00m,Belgian Pro League
621195,Bas Van den Eynden,2002,Centre-Back,"1,90 m",right,€700k,Belgian Pro League
