Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
168678,Marvin Schulz,1995,Defensive Midfield,"1,86 m",right,€700k,Bundesliga 2
96331,Mikkel Kirkeskov,1991,Left-Back,"1,85 m",left,€250k,Bundesliga 2
55508,Lewis Holtby,1990,Central Midfield,"1,76 m",left,€500k,Bundesliga 2
528619,Jonas Sterner,2002,Right-Back,"1,81 m",right,€600k,Bundesliga 2
622722,Colin Kleine-Bekel,2003,Centre-Back,"1,92 m",right,€2.50m,Bundesliga 2
282349,Timo Becker,1997,Centre-Back,"1,90 m",right,€2.00m,Bundesliga 2
193859,Patrick Erras,1995,Defensive Midfield,"1,96 m",right,€1.00m,Bundesliga 2
388409,Philipp Sander,1998,Central Midfield,"1,86 m",both,€4.00m,Bundesliga 2
550580,Shuto Machino,1999,Centre-Forward,"1,85 m",right,€3.00m,Bundesliga 2
939807,Lio Rothenhagen,2006,Goalkeeper,"1,88 m",right,€100k,Bundesliga 2
93827,Steven Skrzybski,1992,Attacking Midfield,"1,74 m",right,€1.00m,Bundesliga 2
633454,Alexander Bernhardsson,1998,Right Winger,"1,85 m",left,€1.50m,Bundesliga 2
798043,Tom Rothe,2004,Left-Back,"1,93 m",left,€12.00m,Bundesliga 2
512352,Lasse Rosenboom,2002,Right-Back,"1,90 m",right,€500k,Bundesliga 2
592534,Nicolai Remberg,2000,Central Midfield,"1,88 m",right,€1.80m,Bundesliga 2
241307,Finn Porath,1997,Attacking Midfield,"1,80 m",right,€1.50m,Bundesliga 2
124080,Marcel Engelhardt,1993,Goalkeeper,"1,91 m",right,€175k,Bundesliga 2
335631,Marco Komenda,1996,Centre-Back,"1,84 m",left,€800k,Bundesliga 2
806073,Niklas Niehoff,2004,Right Winger,"1,87 m",right,€300k,Bundesliga 2
747983,Aurel Wagbe,2004,Left Midfield,"1,91 m",left,€100k,Bundesliga 2
225043,Carl Johansson,1994,Centre-Back,"1,94 m",right,€700k,Bundesliga 2
