Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
388513,Mateu Morey,2000,Right-Back,"1,73 m",right,€800k,Bundesliga
854079,Guille Bueno,2002,Left-Back,"1,76 m",left,€600k,Bundesliga
453737,Marcel Lotka,2001,Goalkeeper,"1,90 m",right,€1.30m,Bundesliga
370789,Julian Ryerson,1997,Right-Back,"1,83 m",right,€20.00m,Bundesliga
684318,Samuel Bamba,2004,Right Winger,"1,79 m",both,€800k,Bundesliga
75489,Niclas Füllkrug,1993,Centre-Forward,"1,89 m",right,€15.00m,Bundesliga
244940,Salih Özcan,1998,Defensive Midfield,"1,83 m",right,€7.00m,Bundesliga
406640,Felix Nmecha,2000,Central Midfield,"1,90 m",right,€28.00m,Bundesliga
804831,Hendry Blank,2004,Centre-Back,"1,89 m",left,€3.50m,Bundesliga
670882,Jamie Gittens,2004,Left Winger,"1,78 m",right,€50.00m,Bundesliga
405690,Ole Pohlmann,2001,Central Midfield,"1,83 m",right,€2.50m,Bundesliga
401173,Jadon Sancho,2000,Left Winger,"1,80 m",right,€30.00m,Bundesliga
76158,Alexander Meyer,1991,Goalkeeper,"1,95 m",right,€800k,Bundesliga
918414,Paris Brunner,2006,Centre-Forward,"1,86 m",right,€1.50m,Bundesliga
257814,Gregor Kobel,1997,Goalkeeper,"1,96 m",right,€40.00m,Bundesliga
181375,Sébastien Haller,1994,Centre-Forward,"1,90 m",right,€3.00m,Bundesliga
35207,Marco Reus,1989,Attacking Midfield,"1,80 m",right,€4.00m,Bundesliga
119296,Emre Can,1994,Defensive Midfield,"1,86 m",right,€7.00m,Bundesliga
388198,Nico Schlotterbeck,1999,Centre-Back,"1,91 m",left,€40.00m,Bundesliga
193900,Marius Wolf,1995,Right-Back,"1,88 m",right,€3.00m,Bundesliga
39728,Mats Hummels,1988,Centre-Back,"1,91 m",right,€3.50m,Bundesliga
718232,Abdoulaye Kamara,2004,Defensive Midfield,"1,85 m",right,€1.00m,Bundesliga
884810,Kjell Wätjen,2006,Central Midfield,"1,83 m",right,€2.00m,Bundesliga
284732,Ramy Bensebaini,1995,Left-Back,"1,87 m",left,€7.00m,Bundesliga
166601,Niklas Süle,1995,Centre-Back,"1,95 m",right,€15.00m,Bundesliga
102226,Thorgan Hazard,1993,Left Winger,"1,75 m",right,€4.00m,Bundesliga
467720,Youssoufa Moukoko,2004,Centre-Forward,"1,79 m",left,€18.00m,Bundesliga
819215,Julien Duranville,2006,Left Winger,"1,73 m",right,€8.50m,Bundesliga
504215,Giovanni Reyna,2002,Attacking Midfield,"1,85 m",right,€12.00m,Bundesliga
326029,Donyell Malen,1999,Right Winger,"1,76 m",right,€28.00m,Bundesliga
106987,Marcel Sabitzer,1994,Central Midfield,"1,78 m",right,€15.00m,Bundesliga
496094,Karim Adeyemi,2002,Left Winger,"1,80 m",left,€35.00m,Bundesliga
482573,Antonios Papadopoulos,1999,Centre-Back,"1,86 m",right,€3.50m,Bundesliga
187492,Julian Brandt,1996,Attacking Midfield,"1,85 m",right,€35.00m,Bundesliga
100986,Thomas Meunier,1991,Right-Back,"1,91 m",right,€2.00m,Bundesliga
485585,Ian Maatsen,2002,Left-Back,"1,78 m",left,€32.00m,Bundesliga
57598,Klaus Gjasula,1989,Defensive Midfield,"1,90 m",both,€300k,Bundesliga
119286,Jannik Müller,1994,Centre-Back,"1,87 m",right,€700k,Bundesliga
54846,Fabian Holland,1990,Left-Back,"1,72 m",left,€200k,Bundesliga
94148,Fabian Schnellhardt,1994,Central Midfield,"1,80 m",left,-,Bundesliga
93651,Marcel Schuhen,1993,Goalkeeper,"1,88 m",right,€800k,Bundesliga
287920,Tim Skarke,1996,Right Winger,"1,81 m",right,€3.00m,Bundesliga
346849,Christoph Klarer,2000,Centre-Back,"1,91 m",right,€3.50m,Bundesliga
77812,Christoph Zimmermann,1993,Centre-Back,"1,94 m",right,€500k,Bundesliga
42072,Tobias Kempe,1989,Central Midfield,"1,84 m",right,€300k,Bundesliga
322075,Thomas Isherwood,1998,Centre-Back,"1,95 m",left,€400k,Bundesliga
270027,Frank Ronstadt,1997,Right-Back,"1,79 m",right,€550k,Bundesliga
370998,Bartol Franjic,2000,Defensive Midfield,"1,88 m",left,€1.80m,Bundesliga
433388,Matej Maglica,1998,Centre-Back,"1,98 m",left,€1.00m,Bundesliga
190289,Gerrit Holtmann,1995,Left Winger,"1,85 m",left,€700k,Bundesliga
60957,Sebastian Polter,1991,Centre-Forward,"1,92 m",right,€300k,Bundesliga
849390,Max Wendt,2024,Goalkeeper,"1,83 m",,,Bundesliga
237162,Matthias Bader,1997,Right-Back,"1,76 m",right,€1.80m,Bundesliga
692070,Clemens Riedel,2003,Centre-Back,"1,86 m",right,€3.00m,Bundesliga
