Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
205179,Jádson,1993,Central Midfield,"1,71 m",right,€1.00m,Campeonato Brasileiro Série A
570583,Lucas Wingert,1999,Goalkeeper,"2,00 m",left,€50k,Campeonato Brasileiro Série A
519877,Dudu Vieira,1994,Central Midfield,"1,76 m",right,€750k,Campeonato Brasileiro Série A
892091,Mandaca,2001,Central Midfield,"1,78 m",right,€1.50m,Campeonato Brasileiro Série A
68102,Renan,1989,Goalkeeper,"1,90 m",right,€200k,Campeonato Brasileiro Série A
809716,Lucas Freitas,2001,Centre-Back,"1,84 m",left,€450k,Campeonato Brasileiro Série A
902507,Werik Popó,2001,Centre-Forward,"1,90 m",right,€350k,Campeonato Brasileiro Série A
583064,Thiago Conti,1997,Central Midfield,"1,80 m",right,€250k,Campeonato Brasileiro Série A
363174,Rodrigo Sam,1995,Centre-Back,"1,87 m",right,€350k,Campeonato Brasileiro Série A
726005,Guilherme Castilho,1999,Central Midfield,"1,80 m",right,€1.40m,Campeonato Brasileiro Série A
348039,Ronie Carrillo,1996,Centre-Forward,"1,86 m",right,€500k,Campeonato Brasileiro Série A
1226334,Rafael Pinna,2007,Centre-Forward,"1,83 m",,,Campeonato Brasileiro Série A
524602,Romércio,1997,Centre-Back,"1,85 m",right,-,Campeonato Brasileiro Série A
405768,Ronaldo,1996,Defensive Midfield,"1,79 m",right,€700k,Campeonato Brasileiro Série A
733453,Mateus Claus,1994,Goalkeeper,"1,94 m",right,€350k,Campeonato Brasileiro Série A
740491,Kelvi Gomes,2002,Defensive Midfield,"1,82 m",right,€250k,Campeonato Brasileiro Série A
800177,Rildo,2000,Right Winger,"1,78 m",right,€1.00m,Campeonato Brasileiro Série A
1226336,João Vitor,2002,Right-Back,"1,74 m",right,€100k,Campeonato Brasileiro Série A
794925,Edson Carioca,1997,Centre-Forward,"1,79 m",right,€650k,Campeonato Brasileiro Série A
323850,Zé Marcos,1998,Centre-Back,"1,88 m",left,€900k,Campeonato Brasileiro Série A
29091,Nenê,1981,Attacking Midfield,"1,81 m",left,€150k,Campeonato Brasileiro Série A
1086632,Abner,2004,Centre-Back,"1,89 m",right,€150k,Campeonato Brasileiro Série A
555310,Caíque Gonçalves,1995,Defensive Midfield,"1,78 m",right,€500k,Campeonato Brasileiro Série A
75080,Alan Ruschel,1989,Left-Back,"1,76 m",left,€175k,Campeonato Brasileiro Série A
813120,Marcelinho,2002,Right Winger,"1,64 m",right,€900k,Campeonato Brasileiro Série A
1274072,Mário,2005,Goalkeeper,"1,94 m",,,Campeonato Brasileiro Série A
1053933,Ruan,2005,Right Winger,"1,72 m",right,€800k,Campeonato Brasileiro Série A
1122164,Pedro Bez,2004,Goalkeeper,"1,94 m",right,,Campeonato Brasileiro Série A
435211,Jefferson,1997,Left-Back,"1,76 m",left,€350k,Campeonato Brasileiro Série A
79242,Gabriel,1992,Goalkeeper,"1,94 m",right,€1.00m,Campeonato Brasileiro Série A
979629,Yan Souto,2001,Centre-Back,"1,88 m",right,€450k,Campeonato Brasileiro Série A
555277,Luís Oyama,1997,Defensive Midfield,"1,71 m",right,€700k,Campeonato Brasileiro Série A
1096275,Davi Gées,2005,Defensive Midfield,"1,85 m",left,€150k,Campeonato Brasileiro Série A
658665,Kleiton Pego,1999,Right Winger,"1,82 m",right,€250k,Campeonato Brasileiro Série A
675047,Daniel Peixoto,1997,Defensive Midfield,"1,81 m",right,€100k,Campeonato Brasileiro Série A
585876,Gabriel Taliari,1997,Centre-Forward,"1,77 m",right,€600k,Campeonato Brasileiro Série A
752724,David da Hora,2000,Left Winger,"1,79 m",right,€750k,Campeonato Brasileiro Série A
1224014,Marlon Santos,2005,Attack,"1,75 m",,,Campeonato Brasileiro Série A
606136,Danilo Boza,1998,Centre-Back,"1,85 m",right,€1.50m,Campeonato Brasileiro Série A
1260621,Mateus Schaffer,2007,Centre-Back,"1,85 m",,,Campeonato Brasileiro Série A
405720,Diego Gonçalves,1994,Left Winger,"1,82 m",right,€400k,Campeonato Brasileiro Série A
1145660,Tomi Montefiori,2003,Right Winger,"1,76 m",,-,Campeonato Brasileiro Série A
1096266,Da Rocha,2004,Left-Back,"1,85 m",left,,Campeonato Brasileiro Série A
816144,Lucas Barbosa,2001,Right Winger,"1,94 m",left,€3.00m,Campeonato Brasileiro Série A
788402,Gabriel Inocêncio,1994,Right-Back,"1,75 m",right,€250k,Campeonato Brasileiro Série A
535037,Erick Farias,1997,Centre-Forward,"1,74 m",right,€1.50m,Campeonato Brasileiro Série A
102574,Jean Carlos,1992,Attacking Midfield,"1,78 m",left,€600k,Campeonato Brasileiro Série A
672292,João Lucas,1998,Right-Back,"1,81 m",right,€2.00m,Campeonato Brasileiro Série A
986895,Luis Felipe,2002,Defensive Midfield,"1,80 m",right,€150k,Campeonato Brasileiro Série A
676034,Ewerthon,2000,Right-Back,"1,71 m",right,€1.00m,Campeonato Brasileiro Série A
379198,Matheus Vargas,1996,Central Midfield,"1,81 m",right,€750k,Campeonato Brasileiro Série A
164013,Gilberto,1989,Centre-Forward,"1,78 m",right,€350k,Campeonato Brasileiro Série A
1096274,João Trevisol,2005,Central Midfield,"1,85 m",,,Campeonato Brasileiro Série A
788361,Moisés,1996,Left Winger,"1,77 m",right,€2.50m,Campeonato Brasileiro Série A
888545,Eros Mancuso,1999,Right-Back,"1,71 m",right,€4.00m,Campeonato Brasileiro Série A
950342,Iarley,2003,Centre-Forward,,,,Campeonato Brasileiro Série A
587786,Felipe Jonatan,1998,Left-Back,"1,76 m",left,€2.50m,Campeonato Brasileiro Série A
404321,Renato Kayzer,1996,Centre-Forward,"1,76 m",right,€1.00m,Campeonato Brasileiro Série A
162807,Juan Martín Lucero,1991,Centre-Forward,"1,82 m",right,€1.50m,Campeonato Brasileiro Série A
422700,Tomás Cardona,1995,Centre-Back,"1,85 m",left,€1.80m,Campeonato Brasileiro Série A
186399,Thiago Galhardo,1989,Centre-Forward,"1,83 m",right,€500k,Campeonato Brasileiro Série A
876750,Bruno Guimarães,2002,Goalkeeper,"1,92 m",right,€75k,Campeonato Brasileiro Série A
818068,Magrão,2000,Goalkeeper,"1,97 m",right,€300k,Campeonato Brasileiro Série A
348354,Tomás Pochettino,1996,Attacking Midfield,"1,80 m",right,€6.00m,Campeonato Brasileiro Série A
594105,Pedro Augusto,1997,Central Midfield,"1,81 m",right,€1.80m,Campeonato Brasileiro Série A
749557,Thauan Lara,2004,Left-Back,"1,76 m",left,€700k,Campeonato Brasileiro Série A
1082774,Amorim,2005,Attacking Midfield,"1,77 m",right,,Campeonato Brasileiro Série A
829968,Imanol Machuca,2000,Right Winger,"1,70 m",right,€3.00m,Campeonato Brasileiro Série A
811949,Jhonathan,1999,Centre-Back,"1,86 m",right,,Campeonato Brasileiro Série A
270420,João Ricardo,1988,Goalkeeper,"1,86 m",right,€500k,Campeonato Brasileiro Série A
340840,Benjamín Kuscevic,1996,Centre-Back,"1,86 m",right,€2.00m,Campeonato Brasileiro Série A
273442,Tinga,1993,Right-Back,"1,79 m",right,€1.20m,Campeonato Brasileiro Série A
