Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
857818,Yáser Asprilla,2003,Right Winger,"1,76 m",left,€18.00m,Championship
120186,Daniel Bachmann,1994,Goalkeeper,"1,91 m",right,€2.00m,Championship
911946,Jorge Hurtado,2003,Centre-Forward,"1,85 m",right,€600k,Championship
412616,Giorgi Chakvetadze,1999,Attacking Midfield,"1,83 m",right,€4.00m,Championship
61832,Jake Livermore,1989,Defensive Midfield,"1,80 m",right,€200k,Championship
157368,Tom Ince,1992,Right Winger,"1,78 m",left,€800k,Championship
371436,Francisco Sierralta,1997,Centre-Back,"1,92 m",right,€1.50m,Championship
1098476,James Collins,2004,Centre-Forward,"1,79 m",right,,Championship
446093,Ryan Porteous,1999,Centre-Back,"1,88 m",right,€3.00m,Championship
252345,Ken Sema,1993,Left Winger,"1,80 m",left,€1.50m,Championship
346472,Tom Dele-Bashiru,1999,Central Midfield,"1,78 m",right,€1.20m,Championship
375877,Vakoun Bayo,1997,Centre-Forward,"1,84 m",right,€4.50m,Championship
67283,Ben Hamer,1987,Goalkeeper,"1,93 m",right,€150k,Championship
635336,Imrân Louza,1999,Central Midfield,"1,78 m",left,€6.00m,Championship
289846,Ashley Fletcher,1995,Centre-Forward,"1,85 m",right,€300k,Championship
1221601,Amin Nabizada,2007,Centre-Forward,"1,73 m",right,,Championship
961641,Aidan Coyne,2004,Centre-Back,"1,81 m",right,-,Championship
531489,Myles Roberts,2001,Goalkeeper,,,€300k,Championship
238185,Rhys Healey,1994,Centre-Forward,"1,80 m",right,€900k,Championship
448854,Emmanuel Dennis,1997,Centre-Forward,"1,75 m",right,€4.00m,Championship
253765,Wesley Hoedt,1994,Centre-Back,"1,93 m",left,€2.00m,Championship
852517,Shaqai Forde,2004,Right Winger,"1,74 m",left,€250k,Championship
624948,Mattie Pollock,2001,Centre-Back,"1,90 m",right,€900k,Championship
803401,Ryan Andrews,2004,Right-Back,,right,€2.00m,Championship
486477,Edo Kayembe,1998,Defensive Midfield,"1,83 m",left,€3.00m,Championship
1078691,Albert Eames,2005,Right-Back,,right,,Championship
346018,Jamal Lewis,1998,Left-Back,"1,78 m",left,€3.00m,Championship
921655,Ismaël Koné,2002,Central Midfield,"1,88 m",right,€12.00m,Championship
525919,Mileta Rajovic,1999,Centre-Forward,"1,96 m",both,€2.50m,Championship
1221599,Leo Ramirez-Espain,2006,Defensive Midfield,,,,Championship
503795,Jeremy Ngakia,2000,Right-Back,"1,84 m",right,€1.50m,Championship
668228,Matheus Martins,2003,Left Winger,"1,79 m",right,€7.00m,Championship
1106666,Zavier Massiah-Edwards,2007,Right Winger,,,,Championship
711247,Kwadwo Baah,2003,Left Winger,"1,82 m",right,€300k,Championship
974327,Jack Grieves,2004,Centre-Forward,,right,€150k,Championship
610621,James Morris,2001,Left-Back,"1,83 m",left,€300k,Championship
364828,Elliot Embleton,1999,Attacking Midfield,"1,73 m",right,€700k,Championship
991323,Michael Spellman,2002,Left Winger,"1,84 m",left,€100k,Championship
827441,Caden Kelly,2003,Attacking Midfield,"1,82 m",right,,Championship
874080,Mason Burstow,2003,Centre-Forward,"1,87 m",right,€2.00m,Championship
1045091,Tom Lavery,2005,Right-Back,"1,90 m",right,,Championship
334687,Alex Bass,1998,Goalkeeper,"1,91 m",right,€275k,Championship
957224,Nectarios Triantis,2003,Defensive Midfield,"1,91 m",right,€500k,Championship
538998,Timothée Pembélé,2002,Right-Back,"1,83 m",right,€2.50m,Championship
73501,Corry Evans,1990,Central Midfield,"1,80 m",right,€75k,Championship
654412,Abdoullah Ba,2003,Right Midfield,"1,80 m",,€4.00m,Championship
535479,Jay Matete,2001,Central Midfield,"1,76 m",right,€300k,Championship
617755,Jenson Seelt,2003,Centre-Back,"1,92 m",right,€2.00m,Championship
937840,Harrison Jones,2004,Attacking Midfield,,right,,Championship
1018834,Matthew Young,2006,Goalkeeper,"1,91 m",right,€250k,Championship
570336,Dan Neil,2001,Central Midfield,"1,85 m",left,€5.50m,Championship
238556,Bradley Dack,1993,Attacking Midfield,"1,75 m",right,€350k,Championship
366729,Nazariy Rusyn,1998,Centre-Forward,"1,77 m",right,€1.50m,Championship
538994,Pierre Ekwah,2002,Defensive Midfield,"1,89 m",left,€4.00m,Championship
696181,Romaine Mundle,2003,Left Winger,,right,€4.50m,Championship
502065,Aji Alese,2001,Centre-Back,"1,92 m",left,€1.00m,Championship
282939,Luke O'Nien,1994,Centre-Back,"1,74 m",right,€1.50m,Championship
559794,Jack Clarke,2000,Left Winger,"1,81 m",right,€15.00m,Championship
484385,Jack Diamond,2000,Left Winger,"1,75 m",right,€300k,Championship
661208,Leo Fuhr Hjelde,2003,Left-Back,"1,90 m",left,€1.50m,Championship
743627,Jewison Bennette,2004,Left Winger,"1,73 m",left,€900k,Championship
967346,Eliezer Mayenda,2005,Centre-Forward,"1,80 m",left,€1.00m,Championship
503686,Daniel Ballard,1999,Centre-Back,"1,87 m",right,€4.00m,Championship
827440,Zak Johnson,2004,Centre-Back,"1,88 m",right,€50k,Championship
1036455,Ben Crompton,2003,Right-Back,"1,88 m",left,,Championship
475946,Anthony Patterson,2000,Goalkeeper,"1,89 m",right,€12.00m,Championship
129049,Danny Batth,1990,Centre-Back,"1,91 m",right,€250k,Championship
933018,Tom Watson,2006,Left Winger,"1,90 m",right,€500k,Championship
947411,Chris Rigg,2007,Central Midfield,"1,77 m",left,€12.00m,Championship
495033,Nathan Bishop,1999,Goalkeeper,"1,85 m",right,€275k,Championship
307781,Lynden Gooch,1995,Right Winger,"1,73 m",right,€1.20m,Championship
568006,Dennis Cirkin,2002,Left-Back,"1,82 m",left,€6.00m,Championship
840687,Luís Semedo,2003,Centre-Forward,"1,92 m",right,€600k,Championship
515544,Trai Hume,2002,Right-Back,"1,80 m",right,€8.50m,Championship
435062,Callum Styles,2000,Left Midfield,"1,67 m",left,€2.50m,Championship
796297,Jobe Bellingham,2005,Central Midfield,"1,91 m",right,€18.00m,Championship
632350,Ellis Taylor,2003,Right Winger,"1,82 m",left,€200k,Championship
559801,Niall Huggins,2000,Left-Back,"1,73 m",right,€800k,Championship
569385,Adil Aouchiche,2002,Attacking Midfield,"1,81 m",right,€2.50m,Championship
225452,Patrick Roberts,1997,Right Winger,"1,67 m",left,€3.50m,Championship
827439,Oliver Bainbridge,2004,Left-Back,"1,90 m",left,€100k,Championship
200777,Alex Pritchard,1993,Attacking Midfield,"1,68 m",right,€1.00m,Championship
511551,Joe Anderson,2001,Centre-Back,,left,€175k,Championship
871229,George Hall,2004,Central Midfield,"1,75 m",right,€1.20m,Championship
287247,Krystian Bielik,1998,Centre-Back,"1,92 m",right,€3.20m,Championship
296986,Tyler Roberts,1999,Centre-Forward,"1,80 m",right,€2.00m,Championship
531679,Ethan Laird,2001,Right-Back,"1,77 m",right,€2.20m,Championship
495993,Dion Sanderson,1999,Centre-Back,"1,88 m",right,€2.50m,Championship
1091562,Romelle Donovan,2006,Right Winger,"1,71 m",left,€800k,Championship
61694,Neil Etheridge,1990,Goalkeeper,"1,88 m",right,€300k,Championship
696346,Jay Stansfield,2002,Centre-Forward,"1,87 m",right,€9.00m,Championship
921735,Brandon Khela,2005,Central Midfield,"1,82 m",both,€200k,Championship
733304,Josh Williams,2002,Right-Back,,right,€300k,Championship
733311,Alfie Chang,2002,Defensive Midfield,"1,85 m",right,€200k,Championship
531957,Cody Drameh,2001,Right-Back,"1,81 m",right,€3.00m,Championship
346467,Andre Dozzell,1999,Central Midfield,"1,78 m",left,€1.00m,Championship
921665,Josh Home,2005,Central Midfield,,,,Championship
33507,Lukas Jutkiewicz,1989,Centre-Forward,"1,85 m",left,€150k,Championship
394152,Emanuel Aiwu,2000,Centre-Back,"1,87 m",right,€3.00m,Championship
733301,Marcel Oakley,2002,Right-Back,,right,-,Championship
667517,Jordan James,2004,Central Midfield,"1,82 m",right,€5.00m,Championship
927953,Bradley Mayo,2004,Goalkeeper,,,€50k,Championship
111114,Kevin Long,1990,Centre-Back,"1,88 m",right,€300k,Championship
110861,Gary Gardner,1992,Central Midfield,"1,86 m",right,€175k,Championship
138783,Scott Hogan,1992,Centre-Forward,"1,80 m",right,€250k,Championship
348863,Juninho Bacuna,1997,Central Midfield,"1,78 m",right,€3.20m,Championship
284959,Marc Roberts,1990,Centre-Back,"1,93 m",right,€175k,Championship
488656,Siriki Dembélé,1996,Left Winger,"1,73 m",right,€2.20m,Championship
351691,Sam Cosgrove,1996,Centre-Forward,"1,94 m",right,€375k,Championship
295060,Koji Miyoshi,1997,Right Midfield,"1,67 m",left,€1.80m,Championship
684283,Zach Jeacock,2001,Goalkeeper,"1,91 m",right,-,Championship
29712,John Ruddy,1986,Goalkeeper,"1,92 m",right,€200k,Championship
532539,Lee Buchanan,2001,Left-Back,"1,79 m",left,€1.80m,Championship
353674,Keshi Anderson,1995,Left Winger,"1,75 m",right,€300k,Championship
887413,Junior Dixon,2004,Centre-Forward,"1,86 m",,,Championship
282689,Seung-ho Paik,1997,Central Midfield,"1,82 m",right,€1.20m,Championship
504386,Emmanuel Longelo,2000,Left-Back,"1,84 m",left,€800k,Championship
341317,Oliver Burke,1997,Right Winger,"1,88 m",right,€1.00m,Championship
226097,Ivan Sunjic,1996,Defensive Midfield,"1,85 m",right,€1.30m,Championship
580801,Layton Stewart,2002,Centre-Forward,"1,80 m",,€350k,Championship
969563,Finlay Cross-Adair,2005,Centre-Forward,,,€75k,Championship
114093,Greg Cunningham,1991,Centre-Back,"1,83 m",left,€200k,Championship
191865,Andrew Hughes,1992,Left-Back,"1,88 m",left,€500k,Championship
347389,Ben Whiteman,1996,Central Midfield,"1,85 m",right,€2.80m,Championship
969562,Kitt Nelson,2005,Attacking Midfield,"1,71 m",right,€50k,Championship
94603,Patrick Bauer,1992,Centre-Back,"1,92 m",right,€250k,Championship
257095,Duane Holmes,1994,Right Midfield,"1,73 m",right,€1.20m,Championship
969559,Kian Best,2005,Left-Back,"1,81 m",left,€500k,Championship
854932,Josh Seary,2004,Right-Back,"1,80 m",right,€100k,Championship
237013,Brad Potts,1994,Right-Back,"1,88 m",right,€1.50m,Championship
128229,Robbie Brady,1992,Left Midfield,"1,76 m",left,€300k,Championship
293325,Emil Riis,1998,Centre-Forward,"1,90 m",right,€2.50m,Championship
883541,James Pradic,2005,Goalkeeper,"1,85 m",right,-,Championship
633652,Calvin Ramsay,2003,Right-Back,"1,77 m",right,€3.00m,Championship
