Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
186704,Kristoffer Peterson,1994,Left Winger,"1,85 m",right,€600k,Eredivisie
315283,Kaj Sierhuis,1998,Centre-Forward,"1,80 m",right,€1.80m,Eredivisie
432852,Deroy Duarte,1999,Central Midfield,"1,77 m",right,€1.00m,Eredivisie
586855,Loreintz Rosier,1998,Defensive Midfield,"1,90 m",right,€1.30m,Eredivisie
698548,Marko Lazetić,2004,Centre-Forward,"1,92 m",right,€1.00m,Eredivisie
235108,Luuk Koopmans,1993,Goalkeeper,"1,90 m",right,€200k,Eredivisie
644613,Sadik Fofana,2003,Centre-Back,"1,92 m",right,€500k,Eredivisie
226074,Alen Halilovic,1996,Attacking Midfield,"1,69 m",left,€1.70m,Eredivisie
805835,Rémy Vita,2001,Left-Back,"1,70 m",left,€800k,Eredivisie
180843,Paul Gladon,1992,Centre-Forward,"1,88 m",right,€300k,Eredivisie
394127,Mouhamed Belkheir,1999,Centre-Forward,"1,85 m",left,€600k,Eredivisie
460845,Siemen Voet,2000,Centre-Back,"1,90 m",left,€350k,Eredivisie
515396,Iman Griffith,2001,Right Winger,"1,70 m",right,€275k,Eredivisie
492313,Rodrigo Guth,2000,Centre-Back,"1,92 m",right,€2.50m,Eredivisie
337670,Alessio da Cruz,1997,Centre-Forward,"1,86 m",right,€600k,Eredivisie
371013,Ivor Pandur,2000,Goalkeeper,"1,87 m",right,€2.00m,Eredivisie
1135967,Tristan Schenkhuizen,2004,Defensive Midfield,"1,78 m",left,€25k,Eredivisie
77966,Oğuzhan Özyakup,1992,Central Midfield,"1,80 m",right,-,Eredivisie
52403,Dimitrios Siovas,1988,Centre-Back,"1,91 m",left,€250k,Eredivisie
1029376,Ramazan Bayram,2004,Goalkeeper,"1,90 m",,€25k,Eredivisie
251848,Iñigo Córdoba,1997,Left Winger,"1,78 m",left,€1.50m,Eredivisie
187245,Mitchell Dijks,1993,Left-Back,"1,94 m",left,€850k,Eredivisie
951318,Daan Bisschops,2005,Centre-Back,,,,Eredivisie
451576,Nathan Markelo,1999,Right-Back,"1,82 m",right,€150k,Eredivisie
288259,Michael Verrips,1996,Goalkeeper,"1,96 m",right,€800k,Eredivisie
357917,Justin Lonwijk,1999,Central Midfield,"1,89 m",right,€900k,Eredivisie
687560,Tom Hendriks,2002,Goalkeeper,"1,98 m",right,€50k,Eredivisie
594240,Tunahan Taşçı,2002,Right Winger,"1,72 m",left,€300k,Eredivisie
371002,Stipe Radic,2000,Centre-Back,"1,90 m",right,€800k,Eredivisie
1264305,Sjors-Lowis Hermsen,2007,Attack,"1,75 m",,,Eredivisie
913022,Milan Robberechts,2004,Right Winger,"1,81 m",left,€300k,Eredivisie
82281,Ivo Pinto,1990,Right-Back,"1,82 m",right,€350k,Eredivisie
247380,Arianit Ferati,1997,Attacking Midfield,"1,68 m",left,€500k,Eredivisie
1193900,Boaz Broekmans,2006,Goalkeeper,,,,Eredivisie
410854,Ragnar Oratmangoen,1998,Left Winger,"1,81 m",right,€600k,Eredivisie
409886,Úmaro Embaló,2001,Right Winger,"1,70 m",left,€700k,Eredivisie
457736,Tijjani Noslin,1999,Right Winger,"1,78 m",right,€12.00m,Eredivisie
470391,Jayden Braaf,2002,Left Winger,"1,81 m",right,€800k,Eredivisie
430797,Sam Kersten,1998,Centre-Back,"1,91 m",right,€800k,Eredivisie
946860,Christian Bos,2005,Right-Back,,,,Eredivisie
1073955,Mohamed Oukhattou,2005,Attacking Midfield,"1,80 m",right,€50k,Eredivisie
443746,Luis Görlich,2000,Right-Back,"1,81 m",right,€350k,Eredivisie
668183,Nico Serrano,2003,Left Winger,"1,76 m",left,€1.20m,Eredivisie
538057,Eliano Reijnders,2000,Right-Back,"1,68 m",right,€550k,Eredivisie
540927,Kaj de Rooij,2000,Right Winger,"1,84 m",right,€350k,Eredivisie
