Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
945716,Álex Alcira,2004,Left-Back,,left,,La Liga 2
718027,Hugo Pérez,2002,Centre-Back,"1,89 m",right,€100k,La Liga 2
973805,Andrés Ferrari,2003,Centre-Forward,"1,90 m",right,€1.50m,La Liga 2
466807,Adrià Altimira,2001,Right-Back,"1,70 m",right,€1.80m,La Liga 2
709372,Carlos Romero,2001,Left-Back,,left,€2.50m,La Liga 2
666918,Jordi Ortega,2003,Central Midfield,"1,82 m",left,€50k,La Liga 2
668505,Tiago Geralnik,2003,Attacking Midfield,"1,78 m",right,€300k,La Liga 2
886047,Antonio Espigares,2004,Centre-Back,"1,87 m",right,€500k,La Liga 2
668276,Hugo Novoa,2003,Right-Back,"1,82 m",right,€2.00m,La Liga 2
1106524,Facundo Viveros,2003,Central Midfield,,,€50k,La Liga 2
635344,Abraham del Moral,2001,Centre-Back,"1,83 m",left,€100k,La Liga 2
547248,Iker Álvarez,2001,Goalkeeper,"1,90 m",right,€800k,La Liga 2
709336,Rubén Gómez,2002,Goalkeeper,"1,85 m",right,€100k,La Liga 2
797572,Stefan Leković,2004,Centre-Back,"1,92 m",right,€1.80m,La Liga 2
1063545,Kevin Martel,2005,Centre-Back,,,,La Liga 2
945709,Dani Requena,2004,Central Midfield,"1,86 m",right,€400k,La Liga 2
709969,Ilias Akhomach,2004,Right Winger,"1,75 m",left,€15.00m,La Liga 2
566965,Diego Collado,2001,Left Winger,"1,83 m",right,€400k,La Liga 2
741254,Gerard Hernández,2005,Defensive Midfield,,right,€500k,La Liga 2
627287,Carlo García,2001,Central Midfield,"1,82 m",right,€400k,La Liga 2
709380,Álex Forés,2001,Centre-Forward,"1,79 m",right,€600k,La Liga 2
669511,Jorge Pascual,2003,Centre-Forward,"1,87 m",left,€1.20m,La Liga 2
652329,Aitor Gelardo,2002,Central Midfield,"1,80 m",right,€300k,La Liga 2
1061336,Pau Navarro,2005,Centre-Back,"1,85 m",right,€500k,La Liga 2
1063553,Pau Cabanes,2005,Centre-Forward,"1,79 m",right,€500k,La Liga 2
668178,Rodri Alonso,2003,Central Midfield,"1,72 m",right,€300k,La Liga 2
668211,Marcos Sánchez,2003,Right-Back,"1,78 m",right,€100k,La Liga 2
607780,Miguel Ángel Morro,2000,Goalkeeper,"1,95 m",left,€450k,La Liga 2
945759,Fran Tafalla,2004,Centre-Back,"1,86 m",right,€50k,La Liga 2
631098,Lanchi,2001,Right-Back,"1,75 m",right,€450k,La Liga 2
895335,Víctor Moreno,2005,Right Winger,"1,74 m",right,€200k,La Liga 2
298983,Javi Ontiveros,1997,Left Winger,"1,75 m",right,€2.00m,La Liga 2
627282,Dani Tasende,2000,Left-Back,"1,72 m",left,€1.50m,La Liga 2
648909,Fabio Blanco,2004,Left Winger,"1,73 m",right,€200k,La Liga 2
165008,Pablo Iñiguez,1994,Centre-Back,"1,83 m",right,€300k,La Liga 2
635347,Alberto del Moral,2000,Central Midfield,"1,85 m",right,€800k,La Liga 2
531121,Juan Gutiérrez,2000,Centre-Back,"1,88 m",right,€400k,La Liga 2
336729,Cedric Omoigui,1994,Centre-Forward,"1,81 m",left,€300k,La Liga 2
396161,Manu Hernando,1998,Centre-Back,"1,83 m",right,€1.60m,La Liga 2
961902,Neco Celorio,2004,Attacking Midfield,"1,72 m",right,€300k,La Liga 2
197131,Marco Sangalli,1992,Right Winger,,right,€350k,La Liga 2
636147,Marcos Bustillo,2001,Attacking Midfield,"1,84 m",right,€250k,La Liga 2
249471,Saúl García,1994,Left-Back,"1,82 m",left,€500k,La Liga 2
336747,Jorge Pombo,1994,Attacking Midfield,"1,77 m",right,€300k,La Liga 2
242301,Miquel Parera,1996,Goalkeeper,"1,82 m",right,€700k,La Liga 2
331498,Jordi Mboula,1999,Right Winger,"1,83 m",right,€1.00m,La Liga 2
639733,Peque Fernández,2002,Second Striker,"1,72 m",right,€5.00m,La Liga 2
848514,Yeray Cabanzón,2003,Right Winger,"1,70 m",left,€300k,La Liga 2
379548,Jokin Ezkieta,1996,Goalkeeper,"1,93 m",right,€2.50m,La Liga 2
403187,Dani Fernández,1997,Right-Back,"1,78 m",right,€800k,La Liga 2
505494,Germán Fernández,2000,Goalkeeper,"1,86 m",left,€150k,La Liga 2
636116,Álvaro Mantilla,2000,Centre-Back,"1,82 m",right,€700k,La Liga 2
971663,Jeremy Arévalo,2005,Right Winger,"1,82 m",left,€200k,La Liga 2
371008,Roko Baturina,2000,Centre-Forward,"1,87 m",left,€600k,La Liga 2
719725,Álvaro Santamaría,2001,Centre-Forward,"1,84 m",right,€200k,La Liga 2
636126,Diego Campo,2001,Central Midfield,"1,77 m",,€200k,La Liga 2
72479,Clément Grenier,1991,Central Midfield,"1,86 m",right,€300k,La Liga 2
531277,Andrés Martín,1999,Right Winger,"1,78 m",left,€2.80m,La Liga 2
522730,Íñigo Sainz-Maza,1998,Central Midfield,"1,84 m",right,€1.00m,La Liga 2
663258,Aritz Aldasoro,1999,Central Midfield,"1,76 m",right,€2.00m,La Liga 2
335216,Iñigo Vicente,1998,Left Winger,"1,78 m",right,€3.00m,La Liga 2
889459,Mario García,2003,Left-Back,"1,72 m",left,€700k,La Liga 2
369706,Matheus Aiás,1996,Centre-Forward,"1,76 m",both,€400k,La Liga 2
95963,Germán Sánchez,1986,Centre-Back,"1,87 m",right,€100k,La Liga 2
274540,Pol Moreno,1994,Centre-Back,"1,87 m",right,€500k,La Liga 2
512070,Ekain Zenitagoia,1994,Second Striker,"1,79 m",right,€500k,La Liga 2
100722,Lago Júnior,1990,Left Winger,"1,80 m",right,€400k,La Liga 2
548109,Iván Morante,2001,Central Midfield,"1,82 m",left,€700k,La Liga 2
708388,Adrián Corral,2003,Centre-Back,"1,79 m",left,-,La Liga 2
461631,Juan Carlos Arana,2000,Centre-Forward,"1,82 m",right,€2.50m,La Liga 2
636113,Mario Jorrín,2002,Right-Back,"1,80 m",,€150k,La Liga 2
379743,Rubén Alves,1994,Centre-Back,"1,84 m",left,€800k,La Liga 2
1254166,Marco Leiton,2006,Left-Back,,,,La Liga 2
308989,Sergio González,1992,Centre-Back,"1,89 m",right,€1.50m,La Liga 2
282700,Enric Franquesa,1997,Left-Back,"1,75 m",left,€1.50m,La Liga 2
945767,Hugo Solozábal,2003,Central Midfield,,,,La Liga 2
594926,Naïs Djouahra,1999,Left Winger,"1,72 m",right,€700k,La Liga 2
456938,Javier Avilés,1997,Right Winger,"1,81 m",right,€200k,La Liga 2
583607,William de Camargo,1999,Right Winger,"1,69 m",right,€75k,La Liga 2
932350,Álex Gil,2003,Central Midfield,"1,84 m",,€100k,La Liga 2
480883,Miguel de la Fuente,1999,Centre-Forward,"1,82 m",right,€2.00m,La Liga 2
585700,Juan Cruz,2000,Left Winger,"1,80 m",left,€4.00m,La Liga 2
214770,Borja López,1994,Centre-Back,"1,91 m",left,€200k,La Liga 2
341713,Diego Conde,1998,Goalkeeper,"1,88 m",right,€10.00m,La Liga 2
715683,Naim García,2002,Right Winger,"1,80 m",left,€400k,La Liga 2
396328,Luis Perea,1997,Defensive Midfield,"1,91 m",right,€500k,La Liga 2
543537,Seydouba Cissé,2001,Central Midfield,"1,78 m",right,€3.00m,La Liga 2
1214320,Sydney Osazuwa,2007,Centre-Forward,"1,93 m",right,€2.00m,La Liga 2
715690,Sergio Navarro,2001,Right Winger,"1,76 m",right,€150k,La Liga 2
255892,Josema,1996,Centre-Back,"1,82 m",left,€400k,La Liga 2
906442,Javi Garrido,2003,Goalkeeper,"1,87 m",right,€50k,La Liga 2
932354,Víctor Rodríguez,2003,Centre-Back,,,€100k,La Liga 2
921734,Óscar Ureña,2003,Left Winger,"1,71 m",right,€400k,La Liga 2
413262,Dani Raba,1995,Right Winger,"1,85 m",left,€1.80m,La Liga 2
401583,Julián Chicco,1998,Defensive Midfield,"1,87 m",right,€800k,La Liga 2
138803,Francisco Portillo,1990,Right Winger,"1,69 m",right,€300k,La Liga 2
95641,Darko Brasanac,1992,Central Midfield,"1,78 m",right,€1.20m,La Liga 2
594497,Diyaeddine Abzi,1998,Left-Back,"1,83 m",left,€300k,La Liga 2
126509,Dani Jiménez,1990,Goalkeeper,"1,79 m",right,€300k,La Liga 2
