Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
598765,Brian Ocampo,1999,Left Winger,"1,72 m",right,€1.00m,La Liga
1054922,Nico Njalla,2003,Right Winger,"1,74 m",left,€150k,La Liga
1038950,Etta Eyong,2003,Centre-Forward,"1,81 m",right,€5.00m,La Liga
212391,Roger Martí,1991,Centre-Forward,"1,79 m",right,€1.00m,La Liga
1178748,Álex Morata,2006,Centre-Back,,,€150k,La Liga
252667,Fali,1993,Centre-Back,"1,86 m",right,€1.40m,La Liga
1027993,José Antonio de la Rosa,2004,Left Winger,"1,74 m",right,€300k,La Liga
197135,Joseba Zaldua,1992,Right-Back,"1,74 m",right,€500k,La Liga
563137,Robert Navarro,2002,Attacking Midfield,"1,78 m",right,€6.00m,La Liga
278404,Martín Calderón,1999,Central Midfield,"1,83 m",left,€150k,La Liga
706797,Victor Aznar,2002,Goalkeeper,"1,92 m",right,€100k,La Liga
85383,Rubén Sobrino,1992,Centre-Forward,"1,85 m",right,€1.00m,La Liga
254037,Iza Carcelén,1993,Right-Back,"1,70 m",right,€1.00m,La Liga
89733,Álex Fernández,1992,Central Midfield,"1,83 m",right,€1.00m,La Liga
396894,Maxi Gómez,1996,Centre-Forward,"1,86 m",right,€1.70m,La Liga
490421,Momo Mbaye,1998,Centre-Back,"1,92 m",left,€200k,La Liga
1032447,Julio Cabrera,2003,Left-Back,,,€150k,La Liga
162027,David Gil,1994,Goalkeeper,"1,86 m",right,€700k,La Liga
266795,Gonzalo Escalante,1993,Central Midfield,"1,82 m",right,€1.20m,La Liga
286779,Jorge Meré,1997,Centre-Back,"1,82 m",right,€500k,La Liga
307519,Fede San Emeterio,1997,Central Midfield,"1,76 m",right,€1.00m,La Liga
422466,Javi Hernández,1998,Left-Back,"1,80 m",left,€2.50m,La Liga
62945,Luis Hernández,1989,Centre-Back,"1,82 m",right,€200k,La Liga
585068,Aiham Ousou,2000,Centre-Back,"1,86 m",right,€2.20m,La Liga
979235,Moussa Diakité,2003,Central Midfield,"1,89 m",,€150k,La Liga
927768,Lucas Pires,2001,Left-Back,"1,82 m",left,€2.00m,La Liga
538810,Chris Ramos,1997,Centre-Forward,"1,90 m",right,€3.00m,La Liga
315604,Diadié Samassékou,1996,Defensive Midfield,"1,77 m",right,€1.00m,La Liga
882772,Álvaro Bastida,2004,Central Midfield,"1,79 m",right,€250k,La Liga
126737,Juanmi,1993,Left Winger,"1,72 m",right,€4.00m,La Liga
18644,Álvaro Negredo,1985,Centre-Forward,"1,86 m",left,€300k,La Liga
542819,Milutin Osmajic,1999,Centre-Forward,"1,86 m",both,€2.00m,La Liga
284342,Conan Ledesma,1993,Goalkeeper,"1,83 m",right,€4.50m,La Liga
247250,Rubén Alcaraz,1991,Central Midfield,"1,80 m",right,€900k,La Liga
211251,Darwin Machís,1993,Left Winger,"1,71 m",right,€1.20m,La Liga
