Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
395674,Adrien Lebeau,1999,Attacking Midfield,"1,75 m",right,€350k,Ligue 1
377393,Pierre Lees-Melou,1993,Defensive Midfield,"1,85 m",right,€8.00m,Ligue 1
174196,Kenny Lala,1991,Right-Back,"1,78 m",right,€2.50m,Ligue 1
1004522,Tommy Le Verge,2005,Centre-Back,"1,93 m",right,,Ligue 1
466602,Karamoko Dembélé,2003,Attacking Midfield,"1,67 m",left,€1.00m,Ligue 1
525155,Grégoire Coudert,1999,Goalkeeper,"1,88 m",left,€400k,Ligue 1
543051,Billal Brahimi,2000,Left Winger,"1,83 m",left,€2.50m,Ligue 1
170544,Christophe Hérelle,1992,Centre-Back,"1,91 m",right,€850k,Ligue 1
127142,Jonas Martin,1990,Defensive Midfield,"1,84 m",right,€800k,Ligue 1
794349,Julien Le Cardinal,1997,Centre-Back,"1,84 m",right,€1.50m,Ligue 1
774772,Antonin Cartillier,2004,Left-Back,"1,76 m",left,€150k,Ligue 1
241229,Jordan Amavi,1994,Left-Back,"1,76 m",left,€2.00m,Ligue 1
1144999,Luck Zogbé,2005,Right-Back,"1,78 m",right,€500k,Ligue 1
238639,Steve Mounié,1994,Centre-Forward,"1,89 m",right,€3.00m,Ligue 1
862972,Josué Escartin,2003,Centre-Back,"1,93 m",right,€400k,Ligue 1
324795,Mahdi Camara,1998,Central Midfield,"1,78 m",right,€10.00m,Ligue 1
454149,Yan Marillat,1994,Goalkeeper,"1,83 m",right,€150k,Ligue 1
671594,Kamory Doumbia,2003,Attacking Midfield,"1,70 m",right,€5.00m,Ligue 1
353399,Romain Del Castillo,1996,Right Winger,"1,72 m",left,€10.00m,Ligue 1
737781,Jérémy Le Douaron,1998,Left Winger,"1,89 m",left,€3.50m,Ligue 1
566823,Achraf Dari,1999,Centre-Back,"1,88 m",right,€2.00m,Ligue 1
855606,Djibril Konté,2002,Left Winger,"1,82 m",right,-,Ligue 1
684062,Hianga'a Mbock,1999,Central Midfield,"1,86 m",right,€500k,Ligue 1
474662,Hugo Magnetti,1998,Central Midfield,"1,80 m",right,€7.00m,Ligue 1
250779,Brendan Chardonnet,1994,Centre-Back,"1,81 m",right,€8.00m,Ligue 1
424072,Mathias Pereira Lage,1996,Left Winger,"1,80 m",right,€2.00m,Ligue 1
640109,Martín Satriano,2001,Centre-Forward,"1,87 m",right,€7.00m,Ligue 1
124884,Marco Bizot,1991,Goalkeeper,"1,93 m",right,€3.50m,Ligue 1
485960,Lilian Brassier,1999,Centre-Back,"1,86 m",left,€10.00m,Ligue 1
805908,Bradley Locko,2002,Left-Back,"1,80 m",left,€10.00m,Ligue 1
