Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
1001941,Adam Pearlman,2005,Centre-Back,"1,83 m",,€100k,Major League Soccer
972875,Luka Gavran,2000,Goalkeeper,"1,98 m",,€100k,Major League Soccer
126630,Sean Johnson,1989,Goalkeeper,"1,90 m",right,€800k,Major League Soccer
967305,Charlie Staniland,2004,Midfield,,,,Major League Soccer
1214898,Tyrese Spicer,2000,Left Winger,"1,85 m",left,€500k,Major League Soccer
893148,Kosi Thompson,2003,Right Midfield,"1,80 m",right,€850k,Major League Soccer
133964,Lorenzo Insigne,1991,Left Winger,"1,63 m",right,€3.00m,Major League Soccer
354775,Deybi Flores,1996,Defensive Midfield,"1,80 m",right,€800k,Major League Soccer
197300,Federico Bernardeschi,1994,Right Winger,"1,83 m",left,€4.00m,Major League Soccer
370979,Ayo Akinola,2000,Centre-Forward,"1,77 m",right,€500k,Major League Soccer
1234654,Charlie Sharp,2001,Centre-Forward,"1,95 m",,,Major League Soccer
746754,Hassan Ayari,2002,Left Winger,"1,80 m",right,,Major League Soccer
229912,Shane O'Neill,1993,Centre-Back,"1,88 m",right,€300k,Major League Soccer
1050866,Cassius Mailula,2001,Right Winger,"1,73 m",,€900k,Major League Soccer
243878,Raoul Petretta,1997,Left-Back,"1,76 m",left,€600k,Major League Soccer
417348,Richie Laryea,1995,Right-Back,"1,75 m",right,€1.20m,Major League Soccer
465976,Jordan Perruzza,2001,Centre-Forward,"1,87 m",left,-,Major League Soccer
455979,Brandon Servania,1999,Central Midfield,"1,78 m",right,€800k,Major League Soccer
640852,Jahkeele Marshall-Rutty,2004,Right-Back,"1,70 m",,€1.50m,Major League Soccer
378478,Henry Wingo,1995,Right-Back,"1,83 m",right,€700k,Major League Soccer
1239932,Nathaniel Edwards,2002,Defender,,,,Major League Soccer
1001938,Alonso Coello,1999,Defensive Midfield,"1,85 m",,€800k,Major League Soccer
1106358,Andrei Dumitru,2006,Attacking Midfield,"1,85 m",right,,Major League Soccer
484387,Matty Longstaff,2000,Central Midfield,"1,71 m",right,€1.50m,Major League Soccer
895650,Hugo Mbongue,2004,Centre-Forward,"1,78 m",,€350k,Major League Soccer
918638,Jesús Batiz,1999,Right Winger,,,,Major League Soccer
718086,Kobe Franklin,2003,Right-Back,"1,73 m",right,€500k,Major League Soccer
230336,Sigurd Rosted,1994,Centre-Back,"1,90 m",right,€800k,Major League Soccer
637490,Aimé Mabika,1998,Centre-Back,"1,95 m",,€250k,Major League Soccer
111114,Kevin Long,1990,Centre-Back,"1,88 m",right,€300k,Major League Soccer
398238,Latif Blessing,1996,Attacking Midfield,"1,65 m",right,€1.00m,Major League Soccer
718098,Deandre Kerr,2002,Centre-Forward,"1,80 m",right,€1.20m,Major League Soccer
207593,Prince Osei Owusu,1997,Centre-Forward,"1,90 m",left,€2.00m,Major League Soccer
354763,Derrick Etienne Jr.,1996,Left Winger,"1,78 m",right,€1.20m,Major League Soccer
718101,Julian Altobelli,2002,Centre-Forward,"1,78 m",,-,Major League Soccer
260807,Jonathan Osorio,1992,Central Midfield,"1,75 m",both,€2.00m,Major League Soccer
845633,Antony Curic,2001,Centre-Back,"1,92 m",,€100k,Major League Soccer
704499,Nicksoen Gomis,2002,Centre-Back,"1,85 m",left,€600k,Major League Soccer
367436,Greg Ranjitsingh,1993,Goalkeeper,"1,88 m",,€100k,Major League Soccer
1010912,Markus Cimermancic,2004,Central Midfield,,,,Major League Soccer
562387,Chris Mueller,1996,Right Winger,"1,75 m",right,€1.20m,Major League Soccer
189895,Kellyn Acosta,1995,Defensive Midfield,"1,77 m",right,€2.00m,Major League Soccer
336167,Chase Gasper,1996,Left-Back,"1,83 m",left,€300k,Major League Soccer
216758,Gastón Giménez,1991,Defensive Midfield,"1,88 m",left,€1.00m,Major League Soccer
421807,Maren Haile-Selassie,1999,Right Midfield,"1,80 m",right,€2.00m,Major League Soccer
86792,Xherdan Shaqiri,1991,Attacking Midfield,"1,69 m",left,€2.00m,Major League Soccer
345621,Mauricio Pineda,1997,Centre-Back,"1,85 m",right,€1.20m,Major League Soccer
131190,Spencer Richey,1992,Goalkeeper,"1,85 m",right,€200k,Major League Soccer
638408,Andrew Gutman,1996,Left-Back,"1,80 m",left,€700k,Major League Soccer
413439,Allan Arigoni,1998,Right-Back,"1,84 m",right,€700k,Major League Soccer
649184,Carlos Terán,2000,Centre-Back,"1,88 m",right,€2.00m,Major League Soccer
635864,Jonathan Dean,1997,Right-Back,"1,73 m",right,€450k,Major League Soccer
887792,Justin Reynolds,2004,Right-Back,"1,78 m",right,€150k,Major League Soccer
1162205,Dylan Borso,2006,Attacking Midfield,,,,Major League Soccer
724039,Georgios Koutsias,2004,Centre-Forward,"1,80 m",right,€2.00m,Major League Soccer
490362,Jack Elliott,1995,Centre-Back,"1,95 m",,€3.00m,Major League Soccer
724411,Javier Casas,2003,Central Midfield,"1,73 m",right,€150k,Major League Soccer
509916,Tom Barlow,1995,Centre-Forward,"1,88 m",,€400k,Major League Soccer
946064,Missael Rodríguez,2003,Centre-Forward,"1,75 m",,€150k,Major League Soccer
1225108,Jaylen Shannon,2000,Centre-Back,"1,87 m",,,Major League Soccer
968504,Victor Bezerra,2000,Centre-Forward,"1,83 m",,€200k,Major League Soccer
460658,Christian Koffi,2000,Left Winger,"1,73 m",right,-,Major League Soccer
329713,Ariel Lassiter,1994,Left Winger,"1,78 m",both,€800k,Major League Soccer
763165,Omari Glasgow,2003,Right Midfield,"1,75 m",,,Major League Soccer
111058,Arnaud Souquet,1992,Right-Back,"1,79 m",right,€800k,Major League Soccer
986794,David Poreba,2002,Attacking Midfield,"1,82 m",,€50k,Major League Soccer
653460,Laurence Wootton,2000,Central Midfield,"1,75 m",,€75k,Major League Soccer
724443,Brian Gutiérrez,2003,Attacking Midfield,"1,78 m",right,€4.00m,Major League Soccer
84150,Rafael Czichos,1990,Centre-Back,"1,87 m",left,€400k,Major League Soccer
562554,Wyatt Omsberg,1995,Centre-Back,"1,93 m",,€200k,Major League Soccer
765504,Chris Brady,2004,Goalkeeper,"1,90 m",,€2.50m,Major League Soccer
196077,Fabian Herbers,1993,Central Midfield,"1,82 m",right,€1.00m,Major League Soccer
553399,Jeff Gal,1993,Goalkeeper,"1,87 m",,€100k,Major League Soccer
1356044,Dean Boltz,2006,Centre-Forward,"1,88 m",right,,Major League Soccer
632131,Federico Navarro,2000,Defensive Midfield,"1,71 m",,€2.00m,Major League Soccer
297990,Tobias Salquist,1995,Centre-Back,"1,90 m",both,€800k,Major League Soccer
420884,Hugo Cuypers,1997,Centre-Forward,"1,85 m",right,€8.00m,Major League Soccer
1242700,Diego Konincks,2000,Centre-Back,1'87 m,right,,Major League Soccer
830604,Sergio Oregel,2005,Central Midfield,"1,75 m",right,€125k,Major League Soccer
1093277,Taha Habroune,2006,Central Midfield,"1,82 m",right,€75k,Major League Soccer
236590,Christian Ramirez,1991,Centre-Forward,"1,88 m",right,€500k,Major League Soccer
317454,Diego Rossi,1998,Attacking Midfield,"1,70 m",right,€8.00m,Major League Soccer
993063,Max Arfsten,2001,Right Winger,"1,85 m",left,€1.20m,Major League Soccer
621369,Andrés Herrera,1998,Right-Back,"1,85 m",right,€1.50m,Major League Soccer
148916,Evan Bush,1986,Goalkeeper,"1,88 m",,€100k,Major League Soccer
354667,Nicholas Hagen,1996,Goalkeeper,"1,93 m",right,€200k,Major League Soccer
358985,Yaw Yeboah,1997,Right Winger,"1,75 m",left,€2.00m,Major League Soccer
203517,Steven Moreira,1994,Right-Back,"1,80 m",right,€1.80m,Major League Soccer
400197,Abraham Romero,1998,Goalkeeper,"1,89 m",right,€175k,Major League Soccer
637146,DeJuan Jones,1997,Left-Back,"1,75 m",right,€3.50m,Major League Soccer
1236942,Cole Johnson,2002,Goalkeeper,,,,Major League Soccer
363466,Malte Amundsen,1998,Left-Back,"1,79 m",left,€3.00m,Major League Soccer
393327,Will Sands,2000,Left-Back,"1,78 m",left,€200k,Major League Soccer
508941,Dylan Chambost,1997,Attacking Midfield,"1,77 m",left,€2.00m,Major League Soccer
663319,Marino Hinestroza,2002,Right Winger,"1,72 m",right,€2.80m,Major League Soccer
1152155,Owen Presthus,2006,Right-Back,,both,,Major League Soccer
666795,Gibran Rayo,2001,Centre-Forward,"1,75 m",right,-,Major League Soccer
