Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
1043471,Augusto Dabó,2004,Left-Back,"1,86 m",left,€300k,Primeira Liga
344474,Ilija Vukotić,1999,Central Midfield,"1,91 m",left,€600k,Primeira Liga
685805,João Gonçalves,2000,Goalkeeper,"1,88 m",right,€700k,Primeira Liga
182936,Filipe Ferreira,1990,Left-Back,"1,78 m",left,€200k,Primeira Liga
1013713,Tomé Sousa,2006,Goalkeeper,"1,90 m",,€200k,Primeira Liga
595012,Ibrahima,1999,Defensive Midfield,"1,90 m",right,€500k,Primeira Liga
1070536,Tiago Machado,2004,Centre-Forward,"1,85 m",left,€200k,Primeira Liga
929573,Joel Silva,2003,Central Midfield,"1,85 m",left,€600k,Primeira Liga
1153785,Luís Pires,2004,Goalkeeper,"1,88 m",right,€100k,Primeira Liga
182108,Seba Pérez,1993,Defensive Midfield,"1,75 m",right,€1.50m,Primeira Liga
450173,Gaius Makouta,1997,Central Midfield,"1,80 m",right,€2.30m,Primeira Liga
454576,Robert Bozenik,1999,Centre-Forward,"1,88 m",right,€4.00m,Primeira Liga
924885,Martim Tavares,2003,Centre-Forward,"1,83 m",right,€400k,Primeira Liga
657791,Jeriel de Santis,2002,Centre-Forward,"1,90 m",right,€250k,Primeira Liga
685807,Luís dos Santos,2000,Right Winger,"1,76 m",right,€225k,Primeira Liga
815652,Tiago Morais,2003,Left Winger,"1,68 m",right,€3.00m,Primeira Liga
358143,Chidozie Awaziem,1997,Centre-Back,"1,89 m",right,€2.00m,Primeira Liga
550631,Masaki Watai,1999,Attacking Midfield,"1,68 m",right,€350k,Primeira Liga
929575,Cristiano Fitzgerald,2003,Left Winger,"1,74 m",right,€100k,Primeira Liga
155395,Salvador Agra,1991,Right Winger,"1,66 m",right,€300k,Primeira Liga
314942,Bruno Lourenço,1998,Right Winger,"1,79 m",left,€700k,Primeira Liga
478366,Miguel Reisinho,1999,Central Midfield,"1,84 m",left,€800k,Primeira Liga
701325,Bruno Onyemaechi,1999,Left-Back,"1,84 m",left,€3.00m,Primeira Liga
122115,Vincent Sasso,1991,Centre-Back,"1,90 m",right,€200k,Primeira Liga
818252,Pedro Malheiro,2001,Right-Back,"1,79 m",right,€4.80m,Primeira Liga
775399,Berna,2003,Attacking Midfield,"1,69 m",left,€225k,Primeira Liga
367652,Rodrigo Abascal,1994,Centre-Back,"1,90 m",left,€800k,Primeira Liga
177776,César,1992,Goalkeeper,"1,92 m",right,€300k,Primeira Liga
1062741,Gonçalo Miguel,2003,Right-Back,"1,81 m",right,€250k,Primeira Liga
526111,Alex Méndez,2000,Central Midfield,"1,80 m",left,€300k,Primeira Liga
461937,Nuno Moreira,1999,Left Winger,"1,75 m",right,€1.50m,Primeira Liga
391719,Domingos Quina,1999,Central Midfield,"1,73 m",right,€1.00m,Primeira Liga
739438,Matheus Pereira,2000,Left-Back,"1,72 m",left,€1.20m,Primeira Liga
706176,Abdul Awudu,2001,Central Midfield,"1,85 m",right,€300k,Primeira Liga
344519,Bruno Costa,1997,Central Midfield,"1,74 m",right,€500k,Primeira Liga
539183,Anderson,1995,Centre-Back,"1,86 m",right,€400k,Primeira Liga
378174,Jardel,1997,Centre-Forward,"1,84 m",right,€275k,Primeira Liga
71830,Bruno Wilson,1996,Centre-Back,"1,92 m",right,€800k,Primeira Liga
487688,Alberto Soro,1999,Right Winger,"1,73 m",left,€550k,Primeira Liga
461939,Tomás Silva,1999,Right-Back,"1,72 m",right,€500k,Primeira Liga
735822,Hugo Oliveira,2002,Right-Back,"1,74 m",right,€225k,Primeira Liga
610238,Pedro Ortiz,2000,Central Midfield,"1,84 m",left,€300k,Primeira Liga
192968,Francesco Ruberto,1993,Goalkeeper,"1,87 m",right,€175k,Primeira Liga
869901,Messias,2005,Right-Back,"1,63 m",right,,Primeira Liga
355370,Dylan Saint-Louis,1995,Left Winger,"1,85 m",right,€200k,Primeira Liga
587550,Rafael Bustamante,1999,Defensive Midfield,"1,76 m",right,€400k,Primeira Liga
524964,Orest Lebedenko,1998,Left-Back,"1,76 m",left,€400k,Primeira Liga
605466,Iker Unzueta,1998,Centre-Forward,"1,84 m",right,€500k,Primeira Liga
95429,Osama Rashid,1992,Defensive Midfield,"1,78 m",right,€175k,Primeira Liga
291939,Samu,1996,Attacking Midfield,"1,70 m",left,€2.00m,Primeira Liga
426523,Joaquín Novillo,1998,Centre-Back,"1,90 m",left,€300k,Primeira Liga
423610,Sava Petrov,1998,Centre-Forward,"1,90 m",right,€300k,Primeira Liga
763798,Alejandro Alvarado,2003,Second Striker,"1,80 m",right,€50k,Primeira Liga
340524,Ivanildo Fernandes,1996,Centre-Back,"1,94 m",left,€300k,Primeira Liga
842780,Houssem Mrezigue,2000,Defensive Midfield,"1,83 m",right,€900k,Primeira Liga
396428,Rodrigo Escoval,1997,Centre-Back,"1,88 m",right,€800k,Primeira Liga
399844,Aleksandar Busnić,1997,Defensive Midfield,"1,91 m",right,€500k,Primeira Liga
395522,Samuel Essende,1998,Centre-Forward,"1,93 m",right,€4.50m,Primeira Liga
590302,Kiko Bondoso,1995,Left Winger,"1,69 m",right,€800k,Primeira Liga
702402,Nikola Bursać,2001,Goalkeeper,"1,91 m",right,€100k,Primeira Liga
248349,Fabijan Buntic,1997,Goalkeeper,"1,94 m",left,€700k,Primeira Liga
1042940,Rodrigo Ramos,2004,Right Winger,"1,81 m",right,€300k,Primeira Liga
642721,Matías Lacava,2002,Right Winger,"1,67 m",left,€700k,Primeira Liga
325200,Jason Lokilo,1998,Right Winger,"1,75 m",left,€700k,Primeira Liga
889618,Amadou Ba-Sy,2001,Centre-Forward,"1,91 m",both,€300k,Primeira Liga
690924,Jota,2000,Centre-Back,"1,86 m",right,€500k,Primeira Liga
654099,Diogo Nascimento,2002,Central Midfield,"1,66 m",right,€800k,Primeira Liga
657435,Pedro Santos,2000,Central Midfield,"1,83 m",right,€1.00m,Primeira Liga
821824,Matías Rocha,2001,Centre-Back,"1,83 m",right,€500k,Primeira Liga
194005,Nino Galović,1992,Centre-Back,"1,84 m",right,€350k,Primeira Liga
458715,Robson Bambu,1997,Centre-Back,"1,85 m",right,€3.00m,Primeira Liga
627183,Benji Michel,1997,Left Winger,"1,78 m",right,€500k,Primeira Liga
396333,Javi Montero,1999,Centre-Back,"1,85 m",left,€2.00m,Primeira Liga
392655,Bogdan Milovanov,1998,Right-Back,"1,78 m",right,€400k,Primeira Liga
530032,Quaresma,1996,Left-Back,"1,81 m",left,€1.00m,Primeira Liga
632901,Miguel Puche,2001,Left Winger,"1,80 m",right,€300k,Primeira Liga
744074,Rafael Fernandes,2002,Centre-Back,"1,91 m",right,€1.00m,Primeira Liga
282721,Uri Busquets,1999,Defensive Midfield,"1,85 m",right,€300k,Primeira Liga
741517,Alfonso Trezza,1999,Right Winger,"1,66 m",right,€600k,Primeira Liga
343289,André Bukia,1995,Right Winger,"1,73 m",left,€350k,Primeira Liga
314137,Eboue Kouassi,1997,Defensive Midfield,"1,85 m",right,€800k,Primeira Liga
339707,Cristo,1997,Second Striker,"1,78 m",right,€6.00m,Primeira Liga
263860,Jason,1994,Right Winger,"1,78 m",right,€2.50m,Primeira Liga
361504,Rafa Mujica,1998,Centre-Forward,"1,83 m",right,€8.00m,Primeira Liga
629567,Yanis Hamache,1999,Left-Back,"1,77 m",left,€900k,Primeira Liga
467940,Vitinho,2000,Central Midfield,"1,75 m",right,-,Primeira Liga
294817,Thiago Silva,1996,Goalkeeper,"1,88 m",right,€200k,Primeira Liga
412367,Weverson,2000,Left-Back,"1,85 m",left,€1.00m,Primeira Liga
534528,Yusuf Lawal,1998,Left Winger,"1,75 m",right,€250k,Primeira Liga
70359,David Simão,1990,Central Midfield,"1,83 m",left,€200k,Primeira Liga
527304,Yaw Moses,1999,Defensive Midfield,"1,70 m",right,€125k,Primeira Liga
367651,Ignacio de Arruabarrena,1997,Goalkeeper,"1,85 m",right,€1.50m,Primeira Liga
64371,Pedro Moreira,1989,Central Midfield,"1,81 m",right,€100k,Primeira Liga
581121,Tiago Esgaio,1995,Right-Back,"1,75 m",right,€900k,Primeira Liga
402112,Morlaye Sylla,1998,Left Winger,"1,70 m",right,€2.50m,Primeira Liga
408563,Jerome Opoku,1998,Centre-Back,"1,97 m",left,€2.90m,Primeira Liga
662415,Vladislav Morozov,2000,Centre-Forward,"1,88 m",right,€300k,Primeira Liga
532900,João Valido,2000,Goalkeeper,"1,85 m",right,€200k,Primeira Liga
553062,Vítor Carvalho,1997,Defensive Midfield,"1,86 m",right,€6.00m,Primeira Liga
1041532,Djibril Soumaré,2003,Defensive Midfield,"1,85 m",left,€400k,Primeira Liga
295414,Adrián Marín,1997,Left-Back,"1,81 m",left,€2.00m,Primeira Liga
906329,Roger,2005,Right Winger,"1,66 m",left,€15.00m,Primeira Liga
58267,Castro,1988,Central Midfield,"1,81 m",right,€100k,Primeira Liga
356099,Cristián Borja,1993,Left-Back,"1,79 m",left,€2.00m,Primeira Liga
858238,Diogo Fonseca,2002,Centre-Back,"1,91 m",right,€300k,Primeira Liga
898721,Chissumba,2005,Left-Back,"1,80 m",left,,Primeira Liga
551980,Yan Said,2002,Centre-Forward,"1,75 m",right,,Primeira Liga
579284,Joe Mendes,2002,Right-Back,"1,77 m",right,€4.00m,Primeira Liga
139396,Bruma,1994,Left Winger,"1,73 m",right,€8.00m,Primeira Liga
33829,José Fonte,1983,Centre-Back,"1,91 m",right,€100k,Primeira Liga
606752,Rodrigo Zalazar,1999,Central Midfield,"1,78 m",right,€16.00m,Primeira Liga
495601,Víctor Gómez,2000,Right-Back,"1,69 m",right,€6.00m,Primeira Liga
413118,Sikou Niakaté,1999,Centre-Back,"1,86 m",left,€6.00m,Primeira Liga
629773,Lukas Hornicek,2002,Goalkeeper,"1,98 m",right,€2.00m,Primeira Liga
139336,Paulo Oliveira,1992,Centre-Back,"1,87 m",right,€1.00m,Primeira Liga
344869,Simon Banza,1996,Centre-Forward,"1,89 m",right,€15.00m,Primeira Liga
177547,Matheus,1992,Goalkeeper,"1,90 m",right,€5.00m,Primeira Liga
997467,Kauan Kelvin,2005,Second Striker,"1,86 m",right,,Primeira Liga
671649,Álvaro Djaló,1999,Left Winger,"1,75 m",right,€12.00m,Primeira Liga
655899,Serdar Saatçı,2003,Centre-Back,"1,90 m",right,€3.50m,Primeira Liga
64339,Pizzi,1989,Attacking Midfield,"1,77 m",right,€600k,Primeira Liga
651005,Cher Ndour,2004,Central Midfield,"1,90 m",both,€4.00m,Primeira Liga
719646,Bernardo,2002,Goalkeeper,"1,96 m",left,€600k,Primeira Liga
329722,André Horta,1996,Central Midfield,"1,74 m",right,€4.50m,Primeira Liga
