Player_ID,Player,BirthYear,Pos,Height,Foot,MarketValue,League
538974,Janis Antiste,2002,Centre-Forward,"1,83 m",right,€1.70m,Serie B
954357,Giacomo Cavallini,2004,Left-Back,"1,80 m",left,€250k,Serie B
110925,Francesco Bardi,1992,Goalkeeper,"1,88 m",right,€400k,Serie B
341481,Lorenzo Libutti,1997,Right-Back,"1,80 m",right,€250k,Serie B
484160,Alex Sposito,2001,Goalkeeper,"1,93 m",left,€150k,Serie B
190634,Marko Pajac,1993,Left-Back,"1,85 m",left,€250k,Serie B
255461,Przemyslaw Szyminski,1994,Centre-Back,"1,85 m",right,€400k,Serie B
401935,Orji Okwonkwo,1998,Right Winger,"1,80 m",right,€250k,Serie B
216599,Domen Crnigoj,1995,Central Midfield,"1,88 m",right,€900k,Serie B
885563,Bryan Blanco,2005,Central Midfield,"1,85 m",,-,Serie B
1154911,Nuhu Shaibu,2023,Central Midfield,"1,85 m",,€50k,Serie B
315862,Filippo Melegoni,1999,Central Midfield,"1,86 m",right,€1.00m,Serie B
61617,Paolo Rozzio,1992,Centre-Back,"1,90 m",right,€400k,Serie B
703245,Antonio Vergara,2003,Attacking Midfield,"1,82 m",left,€1.20m,Serie B
602124,Alessandro Bianco,2002,Central Midfield,"1,73 m",right,€5.00m,Serie B
199635,Eric Lanini,1994,Left Winger,"1,86 m",right,€400k,Serie B
197745,Riccardo Fiamozzi,1993,Right-Back,"1,75 m",right,€300k,Serie B
818448,Alessandro Marcandalli,2002,Centre-Back,"1,90 m",right,€2.00m,Serie B
256678,Filippo Romagna,1997,Centre-Back,"1,86 m",right,€500k,Serie B
328914,Álex Blanco,1998,Left Winger,"1,75 m",left,€500k,Serie B
130369,Stefano Pettinari,1992,Centre-Forward,"1,85 m",right,€200k,Serie B
691825,Edoardo Pieragnolo,2003,Left-Back,"1,84 m",left,€2.40m,Serie B
404969,Filippo Nardi,1998,Central Midfield,"1,75 m",right,€500k,Serie B
323255,Giacomo Satalino,1999,Goalkeeper,"1,88 m",right,€400k,Serie B
240290,Davide Guglielmotti,1994,Right Midfield,"1,84 m",right,€200k,Serie B
430503,Jacopo Da Riva,2000,Central Midfield,"1,87 m",both,€500k,Serie B
406942,Muhamed Varela Djamanca,1998,Right Winger,"1,78 m",right,€200k,Serie B
264514,Luca Vido,1997,Centre-Forward,"1,82 m",right,€500k,Serie B
